"id","user","aviso","pedido","pedido_cliente","item","ordem","cliente","quant_a_fat","quant_fat","quant","entrega","data_saida","codprod","descricao","desenho","matriz","statuspv","statusav"
"9079","ANA GABRIELA",NULL,"2217","4515471905","10","7331","WEG_ITAJAI","10",NULL,NULL,"2024-03-22",NULL,"16727617-2","RETEM 2"" POS.02","10009855888 POS.02","SIM","0","0"
"9080","ANA GABRIELA",NULL,"2215","4201702332","70","7326","GE_RMG","7",NULL,NULL,"2024-06-04",NULL,"HVHV307164-02","DEFLETOR DO PRIMARIO DI=333 OTEF-170 ITEM 02","HV307164-XX","SIM","1","0"
"9081","ANA GABRIELA",NULL,"2215","4201702332","70","7327","GE_RMG","7",NULL,NULL,"2024-06-04",NULL,"HVHV30716402-1","DEFLETOR DO PRIMARIO DI=333 OTEF-170 ITEM 02 - POS.1","HV307164-XX","SIM","1","0"
"9082","ANA GABRIELA",NULL,"2215","4201702332","70","7328","GE_RMG","7",NULL,NULL,"2024-06-04",NULL,"HVHV30716402-2","DEFLETOR DO PRIMARIO DI=333 OTEF-170 ITEM 02 - POS.2","HV307164-XX","SIM","1","0"
"9083","ANA GABRIELA",NULL,"2212","4201702332","30","7323","GE_BAT","1",NULL,NULL,"2024-04-30",NULL,"HIHI300583-01","ADAPTADOR DENSIMETRO E BOMBA PNEUMATICA","HI300583-01","SIM","1","0"
"9084","ANA GABRIELA",NULL,"2213","4201702332","40","7324","GE_RMG","2",NULL,NULL,"2024-05-03",NULL,"HVHV400252-01","DISPOSITIVO RETIRADA DE OLEO OTCF/OTEF MANG.200MM","HV400252-01","SIM","0","0"
"9085","ANA GABRIELA",NULL,"2214","4201702332","50","7325","GE_RMG","6",NULL,NULL,"2024-05-02",NULL,"HVRML-W-064709_1","COMPLEMENTO FIXACAO TUBO/PEDESTAL OSKF - L=85","RML-W-064709","SIM","1","0"
"9086","ANA GABRIELA","054/24","2221","4515416856","40","7337","WEG_ITAJAI","3",NULL,NULL,"2024-04-05",NULL,"12470634","BRACO ACIONAMENTO 230KV","10003048628","SIM","1","2"
"9087","ANA GABRIELA",NULL,"2221","4515416856","40","7338","WEG_ITAJAI","3",NULL,NULL,"2024-04-05",NULL,"12470634-1","BRACO ACIONAMENTO 230KV POS.1","10003048628 FOLHA 2","SIM","0","0"
"9088","ANA GABRIELA",NULL,"2221","4515416856","40","7339","WEG_ITAJAI","3",NULL,NULL,"2024-04-05",NULL,"12470634-2","BRACO ACIONAMENTO 230KV POS.2","10003048628 FOLHA 3","SIM","0","0"
"9089","ANA GABRIELA",NULL,"2221","4515416856","40","7340","WEG_ITAJAI","3",NULL,NULL,"2024-04-05",NULL,"12470634-3","BRACO ACIONAMENTO 230KV POS.3","10003048628 FOLHA 4","SIM","0","0"
"9090","ANA GABRIELA",NULL,"2221","4515416856","40","7341","WEG_ITAJAI","3",NULL,NULL,"2024-04-05",NULL,"12470634-4","BRACO ACIONAMENTO 230KV POS.4","10003048628 FOLHA 5","SIM","0","0"
"9091","ANA GABRIELA",NULL,"2144","4201692482","10","7118","GE_BAT","1",NULL,NULL,"2024-03-07",NULL,"HKHKSU-11574.2","SUPORTE LT POS.2","HKSU-11574","SIM","0","0"
"9092","ANA GABRIELA",NULL,"2144","4201692482","10","7117","GE_BAT","1",NULL,NULL,"2024-03-07",NULL,"HKHKSU-11574.1","SUPORTE LT POS.1","HKSU-11574","SIM","0","0"
"9093","ANA GABRIELA","042/24","2144","4201692482","10","7116","GE_BAT","1",NULL,NULL,"2024-03-07",NULL,"HKHKSU-11574","SUPORTE LT","HKSU-11574","SIM","0","0"
"9094","ANA GABRIELA",NULL,"2223","4515476815","10","7343","WEG_ITAJAI","54",NULL,NULL,"2024-04-12",NULL,"14303600","SUPORTE FIXACAO PROTECAO ANTI-CORONA 730","10005512331","SIM","1","0"
"9095","ANA GABRIELA",NULL,"2223","4515476815","10","7344","WEG_ITAJAI","54",NULL,NULL,"2024-04-12",NULL,"14303600-1","SUPORTE FIXACAO PROTECAO ANTI-CORONA 730 POS.01","10005512331 FOLHA 2","SIM","1","0"
"9096","ANA GABRIELA",NULL,"2223","4515476815","10","7345","WEG_ITAJAI","108",NULL,NULL,"2024-04-12",NULL,"14303600-2","SUPORTE FIXACAO PROTECAO ANTI-CORONA 730 POS.02","10005512331 FOLHA 3","SIM","1","0"
"9097","ANA GABRIELA","059/24","2222","4201704904","10","7342","GE_RBH","126",NULL,NULL,"2024-03-28",NULL,"HVHV310705-06","SAPATA LEVE JATEADA CANTONEIRA 2POLX150","HV310705-06","SIM","0","0"
"9098","ANA GABRIELA",NULL,"2226","4515476811","10","7346","WEG_BETIM","1",NULL,NULL,"2024-03-25",NULL,"17714649","TUBO SAÍDA ALTA TENSÃO AL 3 "" 1478MM","10011782906",NULL,"0","0"
"9099","ANA GABRIELA","055/24","2226","4515476811","10","7347","WEG_BETIM","1",NULL,NULL,"2024-03-25",NULL,"17714649-1","TUBO SAÍDA ALTA TENSÃO AL 3 "" 1478MM POS.1","10011782906 POS.1","SIM","0","0"
"9100","ANA GABRIELA",NULL,"2226","4515476811","10","7348","WEG_BETIM","2",NULL,NULL,"2024-03-25",NULL,"17714649-2","TUBO SAÍDA ALTA TENSÃO AL 3 "" 1478MM POS.2","10011782906 POS.2","SIM","0","0"
"9101","ANA GABRIELA",NULL,"2226","4515476811","10","7349","WEG_BETIM","1",NULL,NULL,"2024-03-25",NULL,"17714649-3","TUBO SAÍDA ALTA TENSÃO AL 3 "" 1478MM POS.3","10011782906 POS.3","SIM","0","0"
"9102","MARIA PAULA","040/24","2125","4515215763","10","7124","WEG_ITAJAI","21",NULL,NULL,"2024-03-08",NULL,"15970081","CJTO BASE SECCIONADORA LA 550KV",,"SIM","0","0"
"9103","MARIA PAULA","040/24","2147","451521763","10","7121","WEG_ITAJAI","80",NULL,NULL,"2024-03-08",NULL,"11510278","ABRACADEIRA REGUL ISOL 5/8""",,"SIM","0","0"
"9104","MARIA PAULA","040/24","2146","4515270188","10","7120","WEG_ITAJAI","12",NULL,NULL,"2024-03-08",NULL,"14610054","VIGA DA BASE VIGA U 3.900,01MM",,"SIM","0","0"
"9105","MARIA PAULA","040/24","2141","4515242598","150","7112","WEG_ITAJAI","42",NULL,NULL,"2024-03-15",NULL,"15972104","EIXO ESC 1 INOX 304 625MM 15,88",,"SIM","0","0"
"9106","MARIA PAULA","040/24","2188","4515331986","10","7241","WEG_ITAJAI","12",NULL,NULL,"2024-03-08",NULL,"17594086","BASE CONTATO FIXO AL 6101 25,4X177X130MM",,"SIM","0","0"
"9107","ANA GABRIELA","046/24","2225","4515462615","20","7355","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346324","FACA SECC HE 145KV 705,4X85X3,91MM","10005593731","SIM","0","2"
"9108","ANA GABRIELA",NULL,"2225","4515462615","20","7356","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346324-1","FACA SECC HE 145KV 705,4X85X3,91MM POS.1","10005593642","SIM","0","0"
"9109","ANA GABRIELA",NULL,"2225","4515462615","20","7357","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346324-1-1","FACA SECC HE 145KV 705,4X85X3,91MM POS.1.1","10005593642","SIM","0","0"
"9110","ANA GABRIELA",NULL,"2225","4515462615","20","7358","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346324-1-2","FACA SECC HE 145KV 705,4X85X3,91MM POS.1.2","10003065376","SIM","0","0"
"9111","ANA GABRIELA",NULL,"2225","4515462615","20","7359","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346324-2","FACA SECC HE 145KV 705,4X85X3,91MM POS.2","10005189611","SIM","0","0"
"9112","ANA GABRIELA","046/24","2224","4515462615","10","7350","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346414","FACA SECC HE 145KV 581,4X85X3,91MM","10005593923","SIM","0","2"
"9113","ANA GABRIELA",NULL,"2224","4515462615","10","7351","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346414-1","FACA SECC HE 145KV 581,4X85X3,91MM POS.1","10005593884","SIM","0","0"
"9114","ANA GABRIELA",NULL,"2224","4515462615","10","7352","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346414-1-1","FACA SECC HE 145KV 581,4X85X3,91MM POS.1.1","10005593884","SIM","0","0"
"9115","ANA GABRIELA",NULL,"2224","4515462615","10","7353","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346414-1-2","FACA SECC HE 145KV 581,4X85X3,91MM POS.1.2","10003065376","SIM","0","0"
"9116","ANA GABRIELA",NULL,"2224","4515462615","10","7354","WEG_ITAJAI","90",NULL,NULL,"2024-03-29",NULL,"14346414-2","FACA SECC HE 145KV 581,4X85X3,91MM POS.2","10005189402","SIM","0","0"
"9117","ANA GABRIELA",NULL,"2231","4515476811","60","7376","WEG_BETIM","1",NULL,NULL,"2024-11-13",NULL,"17714649","TUBO SAIDA ALTA TENSAO AL 3"" 1478MM","10011782906","SIM","0","0"
"9118","ANA GABRIELA",NULL,"2231","4515476811","60","7377","WEG_BETIM","1",NULL,NULL,"2024-11-13",NULL,"17714649-1","TUBO SAIDA ALTA TENSAO AL 3"" 1478MM POS.1","10011782906 POS.1","SIM","0","0"
"9119","ANA GABRIELA",NULL,"2231","4515476811","60","7378","WEG_BETIM","2",NULL,NULL,"2024-11-13",NULL,"17714649-2","TUBO SAIDA ALTA TENSAO AL 3"" 1478MM POS.2","10011782906 POS.2","SIM","0","0"
"9120","ANA GABRIELA",NULL,"2231","4515476811","60","7379","WEG_BETIM","1",NULL,NULL,"2024-11-13",NULL,"17714649-3","TUBO SAIDA ALTA TENSAO AL 3"" 1478MM POS.3","10011782906 POS.3","SIM","0","0"
"9121","ANA GABRIELA",NULL,"2230","4515476811","50","7372","WEG_BETIM","1",NULL,NULL,"2024-05-07",NULL,"17714649","TUBO SAIDA ALTA TENSAO AL 3"" 1478MM","10011782906","SIM","0","0"
"9122","ANA GABRIELA",NULL,"2230","4515476811","50","7373","WEG_BETIM","1",NULL,NULL,"2024-05-07",NULL,"17714649-1","TUBO SAIDA ALTA TENSAO AL 3"" 1478MM POS.1","10011782906 POS.1","SIM","0","0"
"9123","ANA GABRIELA",NULL,"2230","4515476811","50","7374","WEG_BETIM","2",NULL,NULL,"2024-05-07",NULL,"17714649-2","TUBO SAIDA ALTA TENSAO AL 3"" 1478MM POS.2","10011782906 POS.2","SIM","0","0"
"9124","ANA GABRIELA",NULL,"2230","4515476811","50","7375","WEG_BETIM","1",NULL,NULL,"2024-05-07",NULL,"17714649-3","TUBO SAIDA ALTA TENSAO AL 3"" 1478MM POS.3","10011782906 POS.3","SIM","0","0"
"9125","ANA GABRIELA",NULL,"2229","4515476811","40","7368","WEG_BETIM","1",NULL,NULL,"2024-04-23",NULL,"17714649","TUBO SAIDA ALTA TENSAO AL 3"" 1478MM","10011782906","SIM","0","0"
